treatment_appeal,generation,n,n_pairs,mean_similarity,median_similarity,sd_similarity,min_similarity,max_similarity
high_appeal,1,60.0,1770.0,0.4372369647026062,0.44198331236839294,0.18393145501613617,-0.03723274543881416,0.8543850779533386
high_appeal,2,60.0,1770.0,0.47865721583366394,0.4692627787590027,0.1490042358636856,-0.06773238629102707,0.8870913982391357
high_appeal,3,60.0,1770.0,0.4875997304916382,0.49017447233200073,0.16619865596294403,-0.002664247527718544,0.933070182800293
high_appeal,4,60.0,1770.0,0.46478214859962463,0.47434812784194946,0.17048852145671844,-0.0491141602396965,0.8763461112976074
low_appeal,1,60.0,1770.0,0.3241268992424011,0.30913472175598145,0.17092593014240265,-0.07436835765838623,0.8315200805664062
low_appeal,2,60.0,1770.0,0.3633049726486206,0.356417715549469,0.16465336084365845,-0.04741267114877701,0.9638146758079529
low_appeal,3,60.0,1770.0,0.41059333086013794,0.41317322850227356,0.16807124018669128,-0.07128292322158813,0.8665940761566162
low_appeal,4,60.0,1770.0,0.4398510456085205,0.4424588680267334,0.1429542601108551,-0.07478311657905579,0.8975550532341003
