Model,Term,Estimate (b),SE,95% CI,df,t,p
A Scores - Low-appeal only,(Intercept),678.23,9.67,"[659.28, 697.18]",98.59,70.13,<0.001
A Scores - Low-appeal only,generation_c,1.83,4.93,"[-7.84, 11.50]",220.00,0.37,0.711
,,,,,,,
A Scores - High-appeal only,(Intercept),658.85,11.51,"[636.29, 681.42]",240.00,57.23,<0.001
A Scores - High-appeal only,generation_c,5.44,6.15,"[-6.62, 17.50]",240.00,0.88,0.378
,,,,,,,
A Scores - Pooled (Treatment x generation_c),(Intercept),658.85,10.58,"[638.12, 679.58]",229.37,62.30,<0.001
A Scores - Pooled (Treatment x generation_c),treatment_appeallow_appeal,19.38,14.96,"[-9.94, 48.69]",229.37,1.30,0.196
A Scores - Pooled (Treatment x generation_c),generation_c,5.44,5.59,"[-5.51, 16.39]",440.00,0.97,0.331
A Scores - Pooled (Treatment x generation_c),treatment_appeallow_appeal:generation_c,-3.61,7.90,"[-19.09, 11.88]",440.00,-0.46,0.648
,,,,,,,
B Cost - Low-appeal only,(Intercept),85.37,3.55,"[78.41, 92.33]",47.72,24.05,<0.001
B Cost - Low-appeal only,generation_c,-2.23,1.42,"[-5.02, 0.56]",220.00,-1.57,0.119
,,,,,,,
B Cost - High-appeal only,(Intercept),93.28,2.30,"[88.77, 97.79]",79.99,40.56,<0.001
B Cost - High-appeal only,generation_c,0.70,1.11,"[-1.48, 2.88]",220.00,0.63,0.532
,,,,,,,
B Cost - Pooled (Treatment x generation_c),(Intercept),93.28,2.99,"[87.42, 99.14]",110.18,31.19,<0.001
B Cost - Pooled (Treatment x generation_c),treatment_appeallow_appeal,-7.91,4.23,"[-16.20, 0.38]",110.18,-1.87,0.064
B Cost - Pooled (Treatment x generation_c),generation_c,0.70,1.28,"[-1.81, 3.20]",440.00,0.55,0.586
B Cost - Pooled (Treatment x generation_c),treatment_appeallow_appeal:generation_c,-2.93,1.81,"[-6.47, 0.61]",440.00,-1.62,0.106
