Model,Term,Estimate (b),SE,95% CI,df,t,p
Within-individual distance: additive,(Intercept),10.71,0.66,"[9.42, 12.01]",78.82,16.18,<0.001
Within-individual distance: additive,generation_c,-1.57,0.24,"[-2.04, -1.10]",440.00,-6.57,<0.001
Within-individual distance: additive,treatment_appeallow_appeal,4.48,0.79,"[2.93, 6.02]",40.00,5.69,<0.001
,,,,,,,
Within-individual distance: interaction,(Intercept),10.75,0.75,"[9.27, 12.23]",125.97,14.28,<0.001
Within-individual distance: interaction,generation_c,-1.59,0.34,"[-2.26, -0.93]",440.00,-4.72,<0.001
Within-individual distance: interaction,treatment_appeallow_appeal,4.40,1.06,"[2.32, 6.49]",125.97,4.13,<0.001
Within-individual distance: interaction,generation_c:treatment_appeallow_appeal,0.05,0.48,"[-0.89, 0.99]",440.00,0.10,0.917
